Heisenberg model lengths, energies, E/L and time to diagonalize (s) in J=1.0
2	-1.00000	-0.50000	0.00040
4	-2.00000	-0.50000	0.00036
6	-2.80278	-0.46713	0.00336
8	-3.65109	-0.45639	0.02501
10	-4.51545	-0.45154	0.21304
12	-5.38739	-0.44895	2.27144
14	-6.26355	-0.44740	30.98860
16	-7.14230	-0.44639	469.66208
